DATE,US_MXN_RATES
7/16/2021,19.875
7/15/2021,19.935
7/14/2021,19.8669
7/13/2021,20.054
7/12/2021,19.8453
7/9/2021,19.849
7/8/2021,19.994
7/7/2021,19.923
7/6/2021,20.011
7/5/2021,19.8481
7/2/2021,19.758
7/1/2021,19.986
6/30/2021,19.931
6/29/2021,19.803
6/28/2021,19.8199
6/25/2021,19.809
6/24/2021,19.8505
6/23/2021,20.165
6/22/2021,20.335
6/21/2021,20.4749
6/18/2021,20.658
6/17/2021,20.413
6/16/2021,20.402
6/15/2021,20.005
6/14/2021,19.948
6/11/2021,19.8775
6/10/2021,19.679
6/9/2021,19.7315
6/8/2021,19.694
6/7/2021,19.7991
6/4/2021,19.958
6/3/2021,20.154
6/2/2021,19.886
6/1/2021,19.964
5/31/2021,19.9461
5/28/2021,19.905
5/27/2021,19.941
5/26/2021,19.867
5/25/2021,19.914
5/24/2021,19.85
5/21/2021,19.932
5/20/2021,19.8611
5/19/2021,19.917
5/18/2021,19.832
5/17/2021,19.769
5/14/2021,19.857
5/13/2021,19.925
5/12/2021,20.156
5/11/2021,19.949
5/10/2021,19.922
5/7/2021,19.9
5/6/2021,20.058
5/5/2021,20.244
5/4/2021,20.18
5/3/2021,20.161
4/30/2021,20.226
4/29/2021,20.04
4/28/2021,19.901
4/27/2021,20.04
4/26/2021,19.85
4/23/2021,19.815
4/22/2021,19.914
4/21/2021,19.873
4/20/2021,19.96
4/19/2021,19.813
4/16/2021,19.915
4/15/2021,19.934
4/14/2021,20.061
4/13/2021,20.0843
4/12/2021,20.128
4/9/2021,20.146
4/8/2021,20.086
4/7/2021,20.2054
4/6/2021,20.1656
4/5/2021,20.3
4/2/2021,20.295
4/1/2021,20.275
3/31/2021,20.422
3/30/2021,20.57
3/29/2021,20.6081
3/26/2021,20.58
3/25/2021,20.675
3/24/2021,20.921
3/23/2021,20.831
3/22/2021,20.555
3/19/2021,20.494
3/18/2021,20.471
3/17/2021,20.388
3/16/2021,20.6213
3/15/2021,20.631
3/12/2021,20.725
3/11/2021,20.598
3/10/2021,20.872
3/9/2021,21.188
3/8/2021,21.509
3/5/2021,21.301
3/4/2021,21.118
3/3/2021,20.935
3/2/2021,20.596
3/1/2021,20.64
2/26/2021,20.848
2/25/2021,20.836
2/24/2021,20.359
2/23/2021,20.5
2/22/2021,20.714
2/19/2021,20.425
2/18/2021,20.289
2/17/2021,20.207
2/16/2021,20.133
2/15/2021,19.95
2/12/2021,19.93
2/11/2021,19.943
2/10/2021,20.021
2/9/2021,20.075
2/8/2021,20.101
2/5/2021,20.077
2/4/2021,20.371
2/3/2021,20.185
2/2/2021,20.115
2/1/2021,20.365
1/29/2021,20.5855
1/28/2021,20.2316
1/27/2021,20.28
1/26/2021,19.963
1/25/2021,20.1037
1/22/2021,19.963
1/21/2021,19.714
1/20/2021,19.588
1/19/2021,19.65
1/18/2021,19.6708
1/15/2021,19.772
1/14/2021,19.7061
1/13/2021,19.8392
1/12/2021,19.773
1/11/2021,20.0585
1/8/2021,20.0069
1/7/2021,19.9994
1/6/2021,19.635
1/5/2021,19.878
1/4/2021,19.953
1/1/2021,19.875
12/31/2020,19.871
12/30/2020,19.89
12/29/2020,19.89
12/28/2020,20.001
12/25/2020,19.8561
12/24/2020,19.857
12/23/2020,20.0491
12/22/2020,20.1311
12/21/2020,19.941
12/18/2020,19.9355
12/17/2020,19.794
12/16/2020,19.824
12/15/2020,19.888
12/14/2020,20.2412
12/11/2020,20.1351
12/10/2020,19.995
12/9/2020,19.856
12/8/2020,19.765
12/7/2020,19.857
12/4/2020,19.7682
12/3/2020,19.879
12/2/2020,19.96
12/1/2020,20.019
11/30/2020,20.166
11/27/2020,20.0265
11/26/2020,20.027
11/25/2020,19.939
11/24/2020,19.998
11/23/2020,20.162
11/20/2020,20.0975
11/19/2020,20.179
11/18/2020,20.362
11/17/2020,20.307
11/16/2020,20.246
11/13/2020,20.3917
11/12/2020,20.633
11/11/2020,20.464
11/10/2020,20.313
11/9/2020,20.328
11/6/2020,20.544
11/5/2020,20.67
11/4/2020,20.901
11/3/2020,21.1
11/2/2020,21.3743
10/30/2020,21.171
10/29/2020,21.387
10/28/2020,21.28
10/27/2020,21.029
10/26/2020,20.915
10/23/2020,20.868
10/22/2020,20.948
10/21/2020,21.098
10/20/2020,21.1211
10/19/2020,21.188
10/16/2020,21.123
10/15/2020,21.2749
10/14/2020,21.333
10/13/2020,21.347
10/12/2020,21.226
10/9/2020,21.1396
10/8/2020,21.372
10/7/2020,21.454
10/6/2020,21.721
10/5/2020,21.383
10/2/2020,21.6103
10/1/2020,21.823
9/30/2020,22.099
9/29/2020,22.464
9/28/2020,22.395
9/25/2020,22.3389
9/24/2020,22.147
9/23/2020,22.3812
9/22/2020,21.723
9/21/2020,21.346
9/18/2020,21.1272
9/17/2020,20.851
9/16/2020,20.929
9/15/2020,21.143
9/14/2020,21.074
9/11/2020,21.2663
9/10/2020,21.436
9/9/2020,21.352
9/8/2020,21.76
9/7/2020,21.6195
9/4/2020,21.566
9/3/2020,21.66
9/2/2020,21.71
9/1/2020,21.79
8/31/2020,21.8785
8/28/2020,21.7523
8/27/2020,22.1338
8/26/2020,21.931
8/25/2020,21.885
8/24/2020,21.979
8/21/2020,21.9598
8/20/2020,22.074
8/19/2020,22.1231
8/18/2020,22.1496
8/17/2020,22.167
8/14/2020,21.9742
8/13/2020,22.132
8/12/2020,22.342
8/11/2020,22.386
8/10/2020,22.447
8/7/2020,22.3576
8/6/2020,22.368
8/5/2020,22.3576
8/4/2020,22.647
8/3/2020,22.6246
7/31/2020,22.2714
7/30/2020,22.004
7/29/2020,21.961
7/28/2020,21.925
7/27/2020,21.914
7/24/2020,22.259
7/23/2020,22.489
7/22/2020,22.358
7/21/2020,22.3327
7/20/2020,22.479
7/17/2020,22.54
7/16/2020,22.4119
7/15/2020,22.322
7/14/2020,22.443
7/13/2020,22.7615
7/10/2020,22.4435
7/9/2020,22.626
7/8/2020,22.655
7/7/2020,22.841
7/6/2020,22.3259
7/3/2020,22.3915
7/2/2020,22.465
7/1/2020,22.666
6/30/2020,22.9889
6/29/2020,23.0595
6/26/2020,23.0485
6/25/2020,22.6452
6/24/2020,22.7772
6/23/2020,22.4082
6/22/2020,22.486
6/19/2020,22.6328
6/18/2020,22.7418
6/17/2020,22.301
6/16/2020,22.3095
6/15/2020,22.2139
6/12/2020,22.2189
6/11/2020,22.7368
6/10/2020,21.857
6/9/2020,21.9017
6/8/2020,21.492
6/5/2020,21.5844
6/4/2020,21.928
6/3/2020,21.7579
6/2/2020,21.7817
6/1/2020,22.024
5/29/2020,22.1675
5/28/2020,22.2179
5/27/2020,22.288
5/26/2020,22.186
5/25/2020,22.5342
5/22/2020,22.725
5/21/2020,22.8644
5/20/2020,23.191
5/19/2020,23.681
5/18/2020,23.746
5/15/2020,23.9282
5/14/2020,23.86
5/13/2020,24.2009
5/12/2020,24.355
5/11/2020,23.921
5/8/2020,23.621
5/7/2020,24.031
5/6/2020,24.353
5/5/2020,23.986
